Id,Country,Freedom_Score,Property_Rights,Government_Spending,Business ,Trade ,Investment 
1,Afghanistan,0,5.8,0,34.6,0,0
2,Albania,65.3,55.9,71,70.7,82.8,70
3,Algeria,43.2,27.8,50.7,53.6,57.5,30
5,Argentina,51,34.6,53.9,55.5,61.2,55
6,Armenia,65.1,50.3,76.3,64.9,73.6,75
7,Australia,74.8,90.7,47,88.3,89.8,80
8,Austria,71.1,97,13,78.5,78.6,80
11,Bahrain,62.5,65.4,66.3,64,84.2,85
12,Bangladesh,54.4,36.8,94.7,56.7,62,50
15,Belgium,67.1,92,8.1,79,78.6,85
19,Bolivia,43.4,21.1,60.8,55.1,60,15
20,Bosnia and Herzegovina,62.9,48.2,46.6,67,68,65
21,Botswana,64.9,72.8,61.1,65.2,78.6,65
22,Brazil,53.5,49.7,55,63.6,65,60
23,Bulgaria,69.3,75.3,56.5,71.8,78.6,60
27,Cambodia,56.5,40.8,78.7,54.4,66.8,50
28,Cameroon,51.9,38.4,91.1,47.2,53.6,30
29,Canada,73.7,88.5,35,87.9,83.4,80
33,Chile,71.1,72.3,73.5,75.7,78,70
34,China,48.3,45.3,65.1,68.3,73.6,20
35,Colombia,63.1,44.9,66,72.2,75.8,80
39,Costa Rica,66.5,66,85.9,73.8,74.6,70
41,Croatia,66.4,79.5,25.1,72.1,78.6,75
43,Cyprus,72.3,83,45.8,74.9,78.6,75
44,Czech Republic,71.9,88.5,39.5,76.9,78.6,70
45,Denmark,77.6,97.5,20.9,89,78.6,90
48,Dominican Republic,62.6,55.1,89.1,72.1,67,70
49,Ecuador,55,31.6,60.3,64,65.6,35
50,Egypt,49.6,39.7,79.4,51.1,60.2,65
51,El Salvador,56,43,71.6,64.7,68.6,60
54,Estonia,78.6,92.1,47.5,79.4,78.6,90
55,Ethiopia,48.3,30.4,93.7,39.3,56.4,30
57,Finland,77.1,100,8.5,84.9,78.6,85
58,France,63.6,93,0.1,78.2,78.6,75
61,Georgia,68.7,54.3,70,69.8,86,80
62,Germany,73.7,94.8,28.3,79.7,78.6,80
63,Ghana,58,50.5,81.2,53.3,63,70
64,Greece,56.9,76.7,9.7,70.3,78.6,55
65,Guatemala,62.7,39.2,94,65.8,74.6,70
70,Honduras,58.7,38.3,77.5,60.8,71.6,65
72,Hungary,64.1,69.5,29.8,73.5,78.6,80
73,Iceland,72.2,96.8,31.5,83.3,80.4,80
74,India,52.9,49.7,73.8,64.3,59.8,40
75,Indonesia,63.5,38.5,90.6,70.6,78.8,50
76,Iran,42.2,25,94.8,38.9,55.8,5
77,Iraq,0,14.6,0,43.1,0,0
78,Ireland,82,92.9,80.5,87.2,78.6,90
79,Israel,68.9,82.3,49.1,84.9,82.6,80
80,Italy,62.3,81.2,13.7,73.8,78.6,80
81,Jamaica,68.1,65.8,72.2,67.7,70,70
82,Japan,69.3,94.1,48.4,78.3,75.2,60
83,Jordan,58.8,54.1,70,59.8,71.4,70
84,Kazakhstan,62.1,54.8,85.1,64.6,74.8,50
85,Kenya,52.5,39.7,81.7,56,57.2,55
88,South Korea,73.7,88.5,82,84.8,72.2,60
90,Kyrgyzstan,55.8,24.2,66,56.1,72,60
92,Latvia,72.8,87.3,49,78.2,78.6,85
93,Lebanon,45.6,33.1,80.7,48.1,71.4,30
98,Lithuania,72.2,87.7,56.9,76,78.6,70
99,Luxembourg,78.4,96.8,41.6,85.5,78.6,95
101,North Macedonia,63.7,58.9,63.9,74.1,77.8,65
104,Malaysia,67.3,65.4,82.4,70.3,83,60
107,Malta,67.5,86.9,45.9,75.5,78.6,70
109,Mauritius,70.6,87,70.2,76,87.8,80
110,Mexico,63.2,47.8,77.8,72.4,76.8,75
112,Moldova,58.5,37.9,64.4,60.2,75.6,55
113,Mongolia,61.7,48.7,64.1,66.4,74.2,50
114,Montenegro,60.9,59.7,31.7,67.3,79.2,75
115,Morocco,58.4,57.1,72,65.3,64.4,65
117,Namibia,57.7,64,53,56,71.8,65
118,Nepal,51.4,37.6,77.2,60.1,57.8,10
119,Netherlands,78,95.6,37.9,84.4,78.6,90
120,New Zealand,78.9,87.8,49.7,88.8,90.4,70
121,Nicaragua,54.9,29.7,74.4,53.9,66.4,60
123,Nigeria,53.9,24,95.2,44.3,68,45
124,Norway,76.9,98.9,18.7,95.2,84.6,75
126,Pakistan,49.4,29,88.9,45.9,65.8,60
127,Panama,63.8,56.8,81.1,71.1,78.5,75
129,Paraguay,61,46.8,81.7,69.5,77.2,75
130,Peru,66.5,51.4,83.3,72.8,81.2,75
131,Philippines,59.3,46.4,81.3,66.1,74.4,60
132,Poland,67.7,72.7,40,74.8,78.6,80
133,Portugal,69.5,89.9,34.7,76.2,78.6,70
135,Romania,64.5,81,59.7,71.3,78.6,70
136,Russia,53.8,30.6,60.4,54.8,69.4,30
142,Saudi Arabia,58.3,47.3,60.3,71.8,74.2,50
144,Serbia,63.5,58.7,37.6,74.3,76,70
147,Singapore,83.9,94,89,86.9,95,85
148,Slovakia,69,84.2,41.2,72.2,78.6,75
149,Slovenia,68.5,88.6,31.5,75.9,78.6,70
151,South Africa,55.7,42.5,67.3,64.5,72.4,45
152,Spain,65,87.2,30.2,75.2,83.6,85
153,Sri Lanka,52.2,51.6,88,54.4,67.2,30
157,Sweden,77.5,96.6,26.2,84.6,78.6,85
158,Switzerland,83.8,94.2,63.9,84.3,86.6,85
160,Taiwan,80.7,81.9,91.1,84.3,85.8,70
162,Tanzania,60,44.8,91.3,50.1,60.6,55
163,Thailand,60.6,44.2,81.5,66.6,70.8,55
168,Tunisia,52.9,61.8,68.4,54.4,66.3,40
169,Turkey,56.9,40.8,66.1,59.7,75.8,70
171,Uganda,51.4,47.7,87.4,46.1,55.4,55
172,Ukraine,0,0,0,0,0,0
173,United Arab Emirates,70.9,65.4,71.6,77,78,50
174,United Kingdom,69.9,95.1,41.9,79.1,81.8,80
175,United States,70.6,94.7,49.3,83.8,75.4,85
176,Uruguay,70.2,84.3,70.1,80.1,70.8,70
177,Uzbekistan,56.5,30.9,74.9,58.9,76,60
179,Venezuela,25.8,0.1,95,30.8,42.3,0.1
180,Vietnam,61.8,48.7,86.5,73.4,79.4,40
182,Zambia,47.8,36,69.6,43.9,65.2,55
183,Zimbabwe,39,20,92.6,39.8,54,25
